date,text,link
2018-01-02 14:45,Sr. Project/PM Electrical Engineers,https://newyork.craigslist.org/mnh/egr/d/sr-project-pm-electrical/6445516841.html
2018-01-02 14:44,Architectural Firm Seeking Interior Design Intern,https://newyork.craigslist.org/mnh/egr/d/architectural-firm-seeking/6445514917.html
2018-01-02 14:42,MEP/Senior & Mid-Level Resource Managers,https://newyork.craigslist.org/mnh/egr/d/mep-senior-mid-level-resource/6445512929.html
2018-01-02 13:59,COST ESTIMATOR WANTED NOW,https://newyork.craigslist.org/brk/egr/d/cost-estimator-wanted-now/6445446795.html
2018-01-02 13:51,Experienced Architectural Metal Programmer,https://newyork.craigslist.org/brk/egr/d/experienced-architectural/6445269287.html
2018-01-02 13:47,Procurement Project Manager with Design/Architecture background needed,https://newyork.craigslist.org/mnh/egr/d/procurement-project-manager/6445428752.html
2018-01-02 13:44,Interns Needed!,https://newyork.craigslist.org/mnh/egr/d/interns-needed/6445424349.html
2018-01-02 13:14,Academic Tutors ( Starting at $75 per hour ),https://newyork.craigslist.org/wch/egr/d/academic-tutors-starting-at/6445376771.html
2018-01-02 12:36,"Administrative Receptionist - Leading Wholesaler - Temp to Perm, $40K",https://newyork.craigslist.org/mnh/egr/d/administrative-receptionist/6445317087.html
2018-01-02 12:08,Architectural Metal Cost Estimator,https://newyork.craigslist.org/brk/egr/d/architectural-metal-cost/6445271936.html
2018-01-02 11:54,Restaurant Construction Project Manager,https://newyork.craigslist.org/mnh/egr/d/restaurant-construction/6445250390.html
2018-01-02 11:47,Structural Engineer,https://newyork.craigslist.org/que/egr/d/structural-engineer/6445239784.html
2018-01-02 11:45,Architectural Designer,https://newyork.craigslist.org/que/egr/d/architectural-designer/6445238002.html
2018-01-02 11:41,Junior and Intern Level Architect,https://newyork.craigslist.org/que/egr/d/junior-and-intern-level/6445231380.html
2018-01-02 11:32,land surveyor - party chief or field assistant,https://newyork.craigslist.org/lgi/egr/d/land-surveyor-party-chief-or/6445218427.html
2018-01-02 11:17,Career Opportunity in Tech and Engineering  for Immigrant Professional,https://newyork.craigslist.org/mnh/egr/d/career-opportunity-in-tech/6445196439.html
2018-01-02 10:45,Senior CAD Draftsperson / Job Captain,https://newyork.craigslist.org/mnh/egr/d/senior-cad-draftsperson-job/6445152488.html
2018-01-01 20:51,Associate Project Manager,https://newyork.craigslist.org/mnh/egr/d/associate-project-manager/6444760467.html
